trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-251.3899781768157,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-98.98388521637929,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-265.21895018010923,"{0: 13, 1: 1, 2: 2, 3: 5, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.98}",30,0,-203.09563353766436,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-115.41596531738311,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",35,0,-211.51329501356017,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-114.2738056219895,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",30,0,-129.9670657301445,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-69.4498213363292,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.95}",25,0,-93.19150524918808,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-159.3832909087026,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.94}",30,0,-68.5249292905531,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-110.38092961713488,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,2,-64.76268022442774,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-70.12558112617396,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-93.8175268068188,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-176.4360202616937,"{0: 8, 1: 7, 2: 1, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,1,-146.98178830935194,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-183.86598907798665,"{0: 9, 1: 3, 2: 2, 3: 4, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-126.71815916808733,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",30,0,-92.4936133920522,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,15,-1.3206135407071269,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-215.76993657663448,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-140.75700151694807,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-157.5711529997065,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-75.33652136441478,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,5,-45.93076433421786,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,8,-37.64446396409727,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,0,-19.543650652090935,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,13,-7.449792130296437,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,18,-7.6060209487137955,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-143.92214902123516,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",25,0,-104.68824380470662,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-106.13080058593776,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,0,-9.285978836145393,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,8,-77.10051356586894,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",25,0,-93.1723010202069,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,0,-122.32691755562243,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",25,1,-86.9058518737024,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-208.73664243056302,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",25,0,-20.997930078008565,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-179.21078851387202,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-48.47996410694775,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,9,-80.34206436182389,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,5,-25.59158807430615,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-151.59292525419193,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,0,-46.51894295456892,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-83.95604355652374,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
