trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-68.49846905712498,"{0: 20, 1: 6, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-169.7477260980884,"{0: 10, 1: 5, 2: 6, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-93.91860837822377,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-96.81661767025945,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-142.3047063968915,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,4,-62.6194585603487,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-53.69656272573003,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,5,-126.21095408597702,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-195.3643004105857,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,12,-3.039779218290052,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,9,-42.38146450557058,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-104.06489093112255,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-133.73319535407163,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",30,0,-146.22966158683698,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-114.39709348094001,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,4,-20.42026370487854,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-83.60897656364374,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-91.15248200770536,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-111.66889280027786,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",30,1,-158.4155771915672,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 3}",1
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,-170.67420230337743,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
