trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.8801694234188,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.03375060271836,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.7542154856926,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.63784266071647,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.63561971955076,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.34863951564697,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.95177009704834,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.9120002742225,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.8457166436224,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-301.2110712284058,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 6}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.39004804928005,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.815374467185656,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.32754031783647,"{0: 14, 1: 8, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.36938479142604,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.62132414485203,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.04024609552116,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,11,-37.88383550434404,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.82663665526056,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,13,-30.2539916657918,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.34922136962614,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.50027216042099,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-213.4941436471579,"{0: 13, 1: 5, 2: 2, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.12368483327207,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.54292712430718,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.08885738023739,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.1641199865371,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.61617635921327,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.57932799482464,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,2,-92.1349828353642,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.9324033072117,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
